[2026-02-15T21:11:08.975Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:11:22.888Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:11:22.901Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:11:43.720Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:11:43.733Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:11:54.964Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:11:54.974Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:14:20.531Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:14:21.483Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:15:14.337Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:15:15.315Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:15:28.824Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:15:29.783Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:15:50.899Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:15:51.870Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:15:57.033Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"owner"}
[2026-02-15T21:15:58.039Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"172533c4-71cd-4acf-9b90-79db70863a3b","userName":"kind-teal","roomId":"717bec45-cd97-4403-b536-a35fe78ea37c","role":"guest","success":true,"reason":"Rejoining existing room"}
